"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 26, 2017","50,359.47","50,462.58","50,472.38","50,261.27","160.19M","-0.02%"
"Sep 25, 2017","50,368.17","50,302.13","50,436.07","50,161.29","124.01M","0.11%"
"Sep 22, 2017","50,313.51","50,487.93","50,541.50","50,282.19","96.39M","-0.46%"
"Sep 21, 2017","50,545.75","50,385.34","50,636.33","50,156.76","138.99M","0.36%"
"Sep 20, 2017","50,363.95","50,312.79","50,430.38","50,173.52","120.25M","0.20%"
"Sep 19, 2017","50,265.46","50,327.32","50,364.83","50,117.71","103.03M","0.01%"
"Sep 18, 2017","50,258.42","49,953.14","50,326.56","49,953.14","148.53M","0.67%"
"Sep 15, 2017","49,921.84","50,058.62","50,134.44","49,779.09","514.88M","-0.37%"
"Sep 14, 2017","50,107.86","50,094.90","50,225.12","50,017.37","155.30M","-0.11%"
"Sep 13, 2017","50,164.88","50,519.93","50,542.45","50,121.64","200.87M","-0.63%"
"Sep 12, 2017","50,480.96","50,385.80","50,699.50","50,385.50","144.87M","0.24%"
"Sep 11, 2017","50,359.32","50,135.92","50,443.47","50,133.54","131.79M","0.55%"
"Sep 08, 2017","50,083.80","50,192.73","50,308.54","49,865.79","137.99M","-0.33%"
"Sep 07, 2017","50,249.12","50,533.54","50,700.97","50,094.95","153.70M","-0.53%"
"Sep 06, 2017","50,515.60","50,341.86","50,664.66","50,232.91","182.52M","0.43%"
"Sep 05, 2017","50,301.39","50,947.67","50,969.74","50,257.74","153.96M","-1.03%"
"Sep 04, 2017","50,825.77","51,015.91","51,041.89","50,771.58","16.59M","-0.50%"
"Sep 01, 2017","51,080.85","51,271.32","51,370.82","51,001.30","121.79M","-0.25%"
"Aug 31, 2017","51,210.48","51,155.59","51,232.49","51,034.27","230.99M","0.03%"
"Aug 30, 2017","51,193.52","51,312.90","51,350.08","51,003.93","205.90M","-0.23%"
"Aug 29, 2017","51,313.66","51,200.62","51,345.90","51,054.57","145.43M","0.09%"
"Aug 28, 2017","51,266.72","51,429.62","51,588.72","51,025.20","126.45M","-0.21%"
"Aug 25, 2017","51,373.23","51,521.18","51,620.84","51,331.44","132.05M","-0.19%"
"Aug 24, 2017","51,470.06","51,205.24","51,558.56","51,205.24","185.90M","0.37%"
"Aug 23, 2017","51,280.17","51,276.14","51,332.44","51,160.92","142.81M","-0.10%"
"Aug 22, 2017","51,332.98","51,194.24","51,448.64","51,194.24","157.04M","0.18%"
"Aug 21, 2017","51,241.11","51,131.55","51,277.68","50,985.51","112.92M","0.32%"
"Aug 18, 2017","51,075.46","50,930.50","51,254.29","50,836.42","140.02M","0.16%"
"Aug 17, 2017","50,994.18","51,176.66","51,203.36","50,889.50","140.38M","-0.32%"
"Aug 16, 2017","51,156.67","51,331.90","51,431.91","50,983.44","204.80M","-0.36%"
"Aug 15, 2017","51,339.29","51,225.54","51,362.08","51,151.87","138.30M","0.34%"
"Aug 14, 2017","51,167.47","50,680.43","51,231.33","50,680.43","144.31M","1.03%"
"Aug 11, 2017","50,645.10","50,895.92","50,912.76","50,605.88","205.26M","-0.51%"
"Aug 10, 2017","50,906.84","51,235.27","51,248.01","50,618.23","184.94M","-0.65%"
"Aug 09, 2017","51,237.50","51,263.01","51,395.04","51,081.06","128.89M","-0.18%"
"Aug 08, 2017","51,328.76","51,331.79","51,722.06","51,305.77","151.54M","-0.12%"
"Aug 07, 2017","51,389.27","51,300.22","51,572.55","51,300.22","137.27M","0.12%"
"Aug 04, 2017","51,328.29","51,240.67","51,415.61","51,181.71","160.13M","0.07%"
"Aug 03, 2017","51,293.07","51,198.14","51,343.28","51,088.97","180.71M","0.18%"
"Aug 02, 2017","51,200.13","51,153.86","51,484.77","51,105.47","185.31M","0.01%"
"Aug 01, 2017","51,195.01","51,282.19","51,432.77","51,141.27","649.07M","0.36%"
"Jul 31, 2017","51,011.87","51,219.58","51,335.99","50,926.13","220.35M","-0.39%"
"Jul 28, 2017","51,213.60","51,228.42","51,320.51","50,895.54","171.08M","-0.09%"
"Jul 27, 2017","51,257.36","51,545.92","51,660.78","51,172.84","158.69M","-0.66%"
"Jul 26, 2017","51,600.26","51,537.30","51,765.94","51,476.45","198.20M","-0.22%"
"Jul 25, 2017","51,713.38","51,590.48","51,772.37","51,524.23","148.40M","0.09%"
"Jul 24, 2017","51,665.65","51,526.39","51,743.62","51,205.54","128.87M","0.20%"
"Jul 21, 2017","51,564.62","51,180.04","51,641.38","51,165.61","153.69M","0.82%"
"Jul 20, 2017","51,144.14","51,163.21","51,264.51","51,082.68","103.58M","0.11%"
"Jul 19, 2017","51,086.93","51,172.91","51,363.99","50,890.25","173.05M","-0.03%"
"Jul 18, 2017","51,099.71","51,228.36","51,230.70","50,990.67","156.04M","-0.45%"
"Jul 17, 2017","51,332.29","51,141.63","51,364.19","50,950.62","137.17M","0.33%"
"Jul 14, 2017","51,162.23","50,966.87","51,298.10","50,824.13","156.84M","0.38%"
"Jul 13, 2017","50,968.76","50,820.85","51,014.14","50,704.20","258.96M","0.31%"
"Jul 12, 2017","50,809.77","50,847.95","51,103.85","50,440.70","314.86M","0.59%"
"Jul 11, 2017","50,510.23","50,545.51","50,869.10","50,344.78","242.79M","-0.21%"
"Jul 10, 2017","50,616.81","50,058.70","50,661.75","49,975.73","247.90M","1.11%"
"Jul 07, 2017","50,059.02","50,042.53","50,141.18","49,696.97","151.50M","0.09%"
"Jul 06, 2017","50,015.67","50,268.95","50,274.91","49,884.18","178.01M","-0.57%"
"Jul 05, 2017","50,300.81","50,065.52","50,339.63","50,022.15","149.65M","0.52%"
"Jul 04, 2017","50,041.58","49,999.07","50,236.44","49,925.31","36.06M","-0.13%"
"Jul 03, 2017","50,109.16","49,831.53","50,312.02","49,790.53","79.97M","0.50%"
"Jun 30, 2017","49,857.49","49,255.08","49,901.51","49,204.76","160.43M","1.34%"
"Jun 29, 2017","49,198.12","49,380.50","49,428.55","49,001.78","124.12M","-0.29%"
"Jun 28, 2017","49,340.11","49,129.56","49,391.38","49,067.78","141.96M","0.51%"
"Jun 27, 2017","49,087.74","49,179.01","49,207.87","48,944.09","149.86M","-0.16%"
"Jun 26, 2017","49,165.67","48,806.04","49,267.68","48,770.98","135.73M","0.38%"
"Jun 23, 2017","48,980.78","48,938.38","49,139.06","48,873.85","148.04M","-0.07%"
"Jun 22, 2017","49,017.43","48,933.08","49,053.00","48,827.56","106.90M","0.07%"
"Jun 21, 2017","48,983.45","48,958.71","49,203.64","48,895.36","171.78M","-0.10%"
"Jun 20, 2017","49,033.05","49,209.62","49,226.76","48,937.66","147.57M","-0.28%"
"Jun 19, 2017","49,169.57","49,231.61","49,473.67","48,935.15","197.81M","-0.10%"
"Jun 16, 2017","49,221.03","49,134.10","49,348.77","48,870.10","612.36M","0.17%"
"Jun 15, 2017","49,139.70","49,233.21","49,233.85","48,861.25","137.20M","-0.31%"
"Jun 14, 2017","49,291.03","49,121.20","49,378.69","49,022.54","169.95M","0.54%"
"Jun 13, 2017","49,026.83","49,183.47","49,203.36","48,978.17","135.84M","-0.21%"
